派别,场所名称,地址,负责人姓名,省级行政区,省属地级行政区/直辖市属县区级行政区,经纬度,,,,,,
全真,二郎庙,河北省秦皇岛市山海关区首山,关鸿奎,河北,秦皇岛市,"119.709798,40.030485",,,,,,
全真,紫宁宫,河北省保定市清苑区冉庄镇羊庄村,无,河北,保定市,"115.428906,38.695325",,,,,,
全真,后土皇帝庙,河北省保定市定兴县定兴镇西辛告村,李翔,河北,保定市,"115.836859,39.298501",,,,,,
全真,后土皇帝宫,河北省保定市定兴县固城镇固城三街,潘德明,河北,保定市,"115.702917,39.132976",,,,,,
全真,奶奶庙,河北省保定市定兴县肖村乡北七村,张玉霞,河北,保定市,"115.694269,39.185440",,,,,,
全真,后土皇帝庙,河北省保定市定兴县城区管委会北关居民委员会,冀万华,河北,保定市,"115.791191,39.272323",,,,,,
全真,南旺刘守庙,河北省保定市定兴县贤寓镇南旺村,古春亭,河北,保定市,"115.622422,39.201035",,,,,,
全真,洞虚观,河北省保定市阜平县阜平镇白河村,赵圆升,河北,保定市,"114.199298,38.835015",,,,,,
全真,东岳天齐庙,河北省保定市徐水区大因镇崔迪成村,崔春江,河北,保定市,"115.743360,38.904818",,,,,,
正一,卧虎山太阳宫,河北省保定市易县桥头乡北山南村,于醒时,河北,保定市,"115.590582,39.364214",,,,,,
全真,三义宫,河北省涿州市松林店镇楼桑庙村,吴山海,河北,涿州市,"115.948415,39.425782",,,,,,
全真,泰宁宫,河北省涿州市东城坊小马村,赵刚,河北,涿州市,"115.928236,39.483632",,,,,,
全真,张飞庙,河北省涿州市桃园办事处忠义店村,柳金柱,河北,涿州市,"115.971563,39.473226",,,,,,
全真,城隍庙,河北省保定市涞水县涞水镇城内村,于金铃,河北,保定市,"115.714504,39.393657",,,,,,
全真,泰山宫,河北省保定市涞源县城区办,叶宗龙,河北,保定市,"114.694284,39.360247",,,,,,
全真,云盘洞,河北省保定市涞源县银坊镇松树台村,王诚顺,河北,保定市,"114.724873,39.167750",,,,,,
全真,圣母行宫,河北省保定市安国市南阳村,马顺友,河北,保定市,"115.400148,38.409574",,,,,,
全真,慧缘圣母庙,河北省保定市安国市马庄村,徐玲瑞,河北,保定市,"115.472564,38.368098",,,,,,
全真,天真观,河北省保定市涞水县永阳镇东洛平村,庞志明,河北,保定市,"115.593640,39.454600",,,,,,
全真,灵佑观,河北省保定市涞水县涞水镇东租村,谢原晨,河北,保定市,"115.704247,39.414546",,,,,,
全真,龙母宫,河北省保定市竞秀区南奇乡一亩泉村,吕大庆,河北,保定市,"115.373318,38.943592",,,,,,
全真,青虚山道场,河北省保定市唐县齐家佐乡青虚山,赵崇善,河北,保定市,"114.839776,38.973638",,,,,,
全真,北岳宫,河北省保定市唐县石门乡草庄台村大茂山,赵崇善,河北,保定市,"114.503484,39.052517",,,,,,
全真,河伯祠,河北省邢台市桥东区胡家庄,霍桂梅,河北,邢台市,"114.501760,37.096376",,,,,,
全真,圣母庙　,河北省邢台市桥东区拐角村,王香梅,河北,邢台市,"114.520806,37.079334",,,,,,
全真,东岳天齐庙,河北省邢台市平乡县节固乡北周章,王俊祥,河北,邢台市,"114.954159,37.123796",,,,,,
全真,玉皇宫,河北省邢台市平乡县丰州镇,王存巧,河北,邢台市,"115.041629,37.052419",,,,,,
全真,碧霞宫,河北省邢台市平乡县油召乡八辛庄,赵双宝,河北,邢台市,"114.911554,37.034904",,,,,,
正一,玄通观,河北省保定市莲池区韩庄乡杨村,杨明智,河北,保定市,"115.490750,38.944873",,,,,,
全真,东岳天齐庙,河北省保定市望都县高岭乡栗家村,李喜云,河北,保定市,"115.203468,38.704653",,,,,,
